what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332557534816
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1332557539686
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332557548581
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332557671852
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1332557684220
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1332557736915
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332557759195
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332601917055
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332601920291
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332613417882
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1332613421370
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332613442548
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332613444535
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332613452389
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332613462254
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332613466775
started,bundle,org.eclipse.cdt.managedbuilder.ui,8.0.0.201109151620,"org.eclipse.cdt.managedbuilder.ui",1332613472477
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201108301805,"org.eclipse.linuxtools.cdt.autotools.core",1332613474003
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.1.201109151620,"org.eclipse.cdt.managedbuilder.gnu.ui",1332613474117
